问题,标准回答,v1,v1打分,v1错误判断,v1错误分析,v2,v2,v1+v2
金盘科技的主要业务是什么,公司专注于变压器系列、成套系列、储能系列等产品的研发、生产及销售 。,"金盘科技的主要业务包括：

- 全球领先的新能源电力系统配套提供商，专注于干式变压器系列、储能系列等产品的研发、生产及销售。
- 提供电能供应解决方案及高端装备，服务于新能源（如风能、太阳能、储能）、新基建、高效节能、轨道交通等多个领域。
- 致力于为制造业企业提供全生命周期数字化工厂整体解决方案。
- 已建立全球化的销售网络，产品销售与服务遍布全国，并覆盖全球6大洲，84个国家与地区。
- 不断拓展储能及数字化整体解决方案新业务，推进自身企业数字化战略，对外输出数字化整体解决方案业务。",1,,,金盘科技的主要业务是中低压各类变压器系列、成套系列、储能系列等产品的研发、生产和销售，并通过数字化制造模式为新能源（含风能、光伏、储能等领域）、AIDC模块化电源装备、新基建、高效节能、轨道交通等全场景提供优质的电能供应解决方案及高端装备。,1,"金盘科技，一家位于中国海南的高新技术企业，专注于电力设备的研发、生产和销售，尤其在数字化智能变压器和相关电力设备领域享有盛誉。公司成立于2008年，凭借其强大的研发能力和创新技术，在行业内迅速崛起。金盘科技的主要业务包括数字化智能干式变压器、高低压成套开关设备、箱式变电站等产品的设计与制造，这些产品广泛应用于新能源发电、轨道交通、工业自动化、数据中心等多个关键基础设施领域。

近年来，随着全球对绿色能源需求的不断增长以及数字化转型步伐的加快，金盘科技积极响应市场需求，通过引入先进的物联网技术和人工智能算法，致力于提供更加高效、节能、智能化的电力解决方案。公司不仅在国内市场占据重要地位，同时也积极开拓海外市场，产品远销欧洲、北美、东南亚等地，成为国际市场上备受认可的电力设备供应商之一。

此外，金盘科技还十分重视可持续发展和社会责任，积极参与各类环保项目，并通过技术创新降低生产过程中的能耗和碳排放，努力实现经济效益与环境保护的双重目标。公司在行业内的持续创新和卓越表现，使其成为了国内乃至全球电力设备领域的佼佼者。"
金盘科技的股票代码是多少,股票代码为 688676,金盘科技的股票代码是688676。这一信息可以从多个材料中找到，例如材料[1]、[2]、[5]等。,1,,,688676,1,688676
金盘科技的法定代表人是谁,公司的法定代表人是李辉,根据材料[4]，金盘科技的法定代表人是李辉。,1,,,李辉,1,根据材料[4]，金盘科技的法定代表人是李辉。
金盘科技2025年前三季度的营业收入是多少,"2025年1-9月，公司实现营业收入5,194,303,709.34元，同比增长8.25% 。
","金盘科技2025年前三季度的营业收入为5,194,303,709.34元。[9][15]",1,,,5194303709.34,1,"金盘科技2025年前三季度的营业收入为5,194,303,709.34元。"
金盘科技2025年前三季度的净利润是多少,"2025年1-9月，归属于上市公司股东的净利润为485,644,896.76元，同比增长20.27%
","根据提供的材料，金盘科技2025年前三季度的净利润为482,498,759.78元。具体引用如下：

[19] 项目: 五、净利润(净亏损以“-”号填列)，2025年前三季度(1-9月): 482,498,759.78，2024年前三季度(1-9月): 400,405,677.55。",0,,,无法从当前提供的上下文信息中直接得出金盘科技2025年前三季度的净利润数据。,0,"根据提供的材料，金盘科技2025年前三季度的净利润为48,564.49万元。
（备注：参数为30/10/50/25/0.25）"
" 2025年上半年，金盘科技在数据中心领域的销售收入增长了多少？
",2025年上半年，公司在数据中心领域销售收入同比增长460.51% 。,根据材料[3]中的信息，2025年上半年，金盘科技在数据中心领域的销售收入同比增长了460.51%。[3],1,,,460.51,1,"根据材料[4]，2025年上半年，金盘科技在数据中心领域的销售收入同比增长了460.51%。具体引用如下：

数据中心领域实现销售收入超5亿元，同比增长460.51%。[4]"
金盘科技有哪些知名的国际客户,"公司的主要客户包括维斯塔斯(VESTAS)、通用电气(GE)、西门子(SIEMENS)、杜克能源(Duke Energy)、茵梦达(Innomotics)、东芝三菱电机等国际知名企业 。
","根据提供的材料，金盘科技拥有以下知名的国际客户：

- 通用电气
- 西门子
- 维斯塔斯

这些国际知名企业与金盘科技建立了长期稳定的业务合作关系。",0.5,,,金盘科技的知名国际客户包括通用电气（GE）、西门子（SIEMENS）、维斯塔斯（VESTAS）、施耐德（Schneider）和东芝三菱电机等。,1,"根据提供的材料，金盘科技拥有以下知名的国际客户：

通用电气 (GE)
西门子 (Siemens)
维斯塔斯 (Vestas)
这些国际知名企业与金盘科技建立了长期稳定的业务合作关系。"
"截至2025年6月30日，金盘科技的在手订单金额是多少？
","截至2025年6月30日，公司在手订单75.40亿元（不含税），同比增长14.89%，其中内销在手订单47.38亿元，外销在手订单28.02亿元 。
",根据材料[18]中的信息，截至2025年6月30日，金盘科技的在手订单金额为81.44亿元。,1,答案问题,"2025-10-14 金盘科技：关于海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券申请文件的审核问询函之回复报告（168页）：具体分析如下：
2025年6月末公司在手订单为81.44亿元，较2024年末增加16.35亿元",无法从现有信息中得出2025年6月30日的在手订单金额。,0,根据提供的材料，无法直接找到截至2025年6月30日金盘科技的在手订单金额的具体数值。材料中提供了金盘科技的财务数据，如净利润、经营活动现金流净额等，但没有提及在手订单金额。因此，无法从材料中确定该具体数值。
"截至2025年6月30日，金盘科技可自由支配的资金有多少？
","截至2025年6月30日，公司可自由支配资金合计61,095.69万元。
","根据材料 [1] 中的数据，截至2025年6月30日，金盘科技的货币资金（即可自由支配的资金）为72,878.15万元。",0,检索问题,把问题中的金盘科技换成“公司”就可以找到正确答案，金盘科技对于检索的影响较大，尝试调参数，调参数也不行，金盘科技对于语义和关键词检索都影响较大,729125700,0,"根据材料[1]，截至2025年6月30日，金盘科技的货币资金为72,878.15万元。这可以视为其可自由支配的资金数额。[1]"
"2024年金盘科技的经营活动现金流量净额为什么是负的？
","2024年公司经营活动产生的现金流量净额为负，主要系公司开发建设海南甲子光伏电站导致经营活动现金流出金额较大以及因光伏行业周期波动导致部分客户回款放缓所致 。
","根据提供的材料，2024年金盘科技的经营活动现金流量净额为负的主要原因可以从以下几点总结：

1. **经营活动现金流入**：2024年度经营活动现金流入小计为6,066,109,955.18元。
   
2. **经营活动现金流出**：2024年度经营活动现金流出小计为6,103,091,232.16元，比2023年的5,172,876,184.26元有较大增长。

3. **现金流量净额**：由于现金流出大于现金流入，导致经营活动产生的现金流量净额为负，具体数值为-36,981,276.98元。

因此，经营活动现金流量净额为负主要是因为经营活动的现金流出超过了现金流入。这可能与公司扩大业务规模、增加原材料采购、支付员工薪酬及税费等支出有关。",0.5,检索问题,找不到,2024年金盘科技经营活动现金流量净额为负的主要原因是：1) 公司业务快速发展，销售回款滞后于收入增长；2) 随着销售订单持续增长，公司需加大原材料采购和增加产品备货，导致付款增加；3) 开发建设甲子光伏电站项目导致经营活动现金流出金额较大；4) 因光伏行业周期波动导致部分客户回款放缓。,1,"根据提供的材料，我们无法直接找到关于2024年金盘科技经营活动现金流量净额为负的具体原因。材料中提到的是经营活动产生的现金流量净额与去年同期相比有所改善，但没有提及具体的负值情况及其原因。因此，无法从现有材料中得出2024年金盘科技经营活动现金流量净额为负的确切原因。

"
"2025年美国对中国商品加征关税对金盘科技有何影响？
","2025年4月初美国对中国商品加征关税大幅提升 。由于美国对中国商品关税政策存在较大不确定性，未来美国对中国商品加征关税税率可能进一步提升，并存在频繁调整的风险，将对公司出口美国市场的相关业务产生不利影响 。
",根据提供的材料，没有直接提到2025年美国对中国商品加征关税对金盘科技的具体影响。材料主要集中在金盘科技的财务状况、业务发展、数字化转型等方面，但未提及关税政策变动对其的影响。因此，无法从现有材料中得出2025年美国对中国商品加征关税对金盘科技的具体影响。,0,检索问题,把问题中的金盘科技换成“公司”就可以找到正确答案，金盘科技对于检索的影响较大，是不是与表格文本化了有关？换成公司后，就不会找到那些带有金盘科技的表格单行内容,2025年美国对中国商品加征关税的不确定性和频繁调整对金盘科技的出口业务和经营业绩产生了不利影响。,1,"根据提供的材料，2025年美国对中国商品加征关税对金盘科技的影响如下：

2025年4月初，美国对中国商品加征关税大幅提升，截至2025年4月10日，美国对中国商品加征关税税率累计达到145%。随后，中美日内瓦经贸会谈后，美国取消了此前对中国商品加征的91%关税，保留54%关税，其中暂停加征24%关税90天，加征的30%关税继续生效。2025年8月12日，中美双方再次宣布暂停加征24%关税90天。[1][3][5][6]

由于美国对中国商品关税政策存在较大不确定性，未来美国可能对中国商品加征关税税率进一步提升，并存在频繁调整的风险，这将对公司直接出口美国市场的相关业务产生不利影响，继而对公司经营业绩产生不利影响。[1][3][5][6]

公司已采取措施应对美国加征关税对公司经营业绩的不利影响，包括与美国客户协商，将部分关税转移至美国客户。[3]

报告期内，公司直接出口及通过美国子公司间接出口至美国的合计收入占当期营业收入的比例分别为1.24%、4.33%、11.42%、8.57%。[6]"
"金盘科技如何应对中美贸易摩擦带来的关税风险？
","公司的应对措施包括：积极与美国客户协商，将2025年加征的部分关税转移至美国客户 ；通过在马来西亚等低关税税率地区建厂 ；扩大在墨西哥通过 Shelter 模式生产后销售至美国的业务规模 ；以及逐步扩大美国子公司在本地生产和销售成套系列产品数量 。
",根据提供的材料，金盘科技并未详细说明具体的应对中美贸易摩擦带来的关税风险的具体措施。材料中多次提到公司产品被美国列入加征关税清单的事实，但没有具体描述公司如何应对这些关税风险。因此，无法从材料中确定金盘科技应对中美贸易摩擦带来的关税风险的具体方法。,0,检索问题,原文为“应对美国加征关税”，query为“中美贸易摩擦”，embedding模型没有关联上，问题改成加征关税后可以找到,金盘科技通过敏感性分析来评估关税变化对公司净利润的影响，并采取相应的风险管理措施。具体措施包括对不同关税水平进行敏感性分析，以评估其对公司净利润的影响。,0,"在当前复杂的国际贸易环境下，金盘科技作为一家专注于电力设备制造的企业，面对中美贸易摩擦所带来的关税风险，采取了一系列积极有效的策略来减轻负面影响并确保业务稳定发展。

首先，金盘科技加大了对国内市场的开拓力度，通过优化产品结构和提升服务质量，满足国内市场日益增长的需求。这不仅减少了对出口美国市场的依赖，还进一步巩固了其在国内市场中的领先地位。据内部数据显示，自2019年以来，公司在国内市场的销售收入实现了年均两位数的增长，有效缓解了因外部环境变化而产生的压力。

其次，在供应链管理方面，金盘科技灵活调整了采购策略，寻找更多元化的供应商渠道，并加强与现有供应商的合作关系，确保原材料供应的稳定性和成本控制。同时，公司还积极推动供应链本地化，减少对外部供应链的依赖，从而降低潜在的关税冲击风险。

此外，技术创新也是金盘科技应对关税风险的重要手段之一。通过不断加大研发投入，公司成功推出了一系列具有自主知识产权的新产品，这些产品不仅能够更好地适应市场需求变化，还具备较强的国际竞争力。特别是在新能源领域，金盘科技凭借其先进的技术和优质的服务赢得了广泛的客户认可，进一步提升了公司的全球市场份额。

综上所述，面对中美贸易摩擦带来的关税风险，金盘科技通过多元化市场布局、优化供应链管理和持续技术创新等多维度措施，有效地应对了挑战，展现了其强大的韧性和发展潜力。未来，随着全球经济形势的变化以及公司战略的不断深化，金盘科技有望继续保持稳健的发展态势。"
"金盘科技对天镇福光储能有限责任公司的应收账款为何逾期？
","逾期原因为：主管部门储能相关政策及结算细则出台晚于预期，导致该客户储能电站2024年暂未商业运行产生稳定收益，资金暂时较为紧张 。
","金盘科技对天镇福光储能有限责任公司的应收账款逾期的原因是：

- 主管部门储能相关政策及结算细则出台晚于预期，导致该客户储能电站2024年暂未商业运行产生稳定收益，资金暂时较为紧张。[1]",1,,,主管部门储能相关政策及结算细则出台晚于预期，导致天镇福光储能电站2024年暂未商业运行产生稳定收益，资金暂时较为紧张。,1,"金盘科技对天镇福光储能有限责任公司的应收账款逾期的原因是：

主管部门储能相关政策及结算细则出台晚于预期，导致该客户储能电站2024年暂未商业运行产生稳定收益，资金暂时较为紧张。[1]
此外，材料还提到金盘科技已经采取了多项措施来保障应收款项的回款，包括要求天镇福光的股东将其持有的天镇福光100%股权质押给公司，并办理了股权质押手续；要求将公司向天镇福光供应的设备全部抵押给公司，并办理了抵押登记手续；要求将山西天镇源网荷共享储能电站项目经营产生的收费权质押给公司，并办理了电站项目收费权质押手续。[4]"
"金盘科技与甘肃瓜州宝丰风能开发有限公司的质量纠纷是如何处理的？
","双方于2024年4月签署《协议书》，约定原合同总价款调减2,287.71万元 。
","金盘科技与甘肃瓜州宝丰风能开发有限公司的质量纠纷处理情况如下：

1. 2024年3月末，宝丰风能以公司销售箱式变电站中的液浸式变压器使用的变压器油产地不符合要求等为由，要求公司给予销售折让。
2. 公司与宝丰风能协商后，对该订单进行了一定的销售折让，双方于2024年4月签署了《协议书》，约定原合同总价款调减2,287.71万元。
3. 公司内部组织质量部、采购部、相关产品事业部等就此次售后事项进行反思和经验总结，确保后续采购液浸式变压器时，必须取得变压器油厂商的产品质量证明、油质气相色谱试验报告等文件，并对每批次液浸式变压器的油进行抽查复验。[8]",1,,,"金盘科技与甘肃瓜州宝丰风能开发有限公司的质量纠纷通过以下方式处理：公司加强了产品质量管理，对每批次液浸式变压器的油进行抽查复验。双方协商后于2024年4月签署《协议书》，约定原签署的《箱式变电站买卖合同》总价调减2,287.71万元。这些措施有助于提升产品质量管理水平，避免因质量纠纷引发诉讼对公司商誉和业务拓展造成的不利影响。",1,根据提供的材料，无法直接找到金盘科技与甘肃瓜州宝丰风能开发有限公司之间的具体质量纠纷处理细节。材料中提到的是应收账款逾期的情况，原因是客户提出了售后服务需求以及部分设备需要进行消缺处理，但没有详细描述质量纠纷的处理方式。因此，无法从现有材料中确定具体的质量纠纷处理结果。
"截至2025年3月31日，金盘科技有多少研发人员？
","截至2025年3月31日，公司研发人员达410人，占公司总人数17.45% 。
",根据材料[1]，截至2025年3月31日，金盘科技有130名研发人员。[1],0,检索问题,把问题中的金盘科技换成“公司”就可以找到正确答案，受到一行既有“金盘科技”又有“研发人员”的表信息影响，,402,0,根据材料[1]，截至2025年3月31日，金盘科技的研发人数为130人。
"金盘科技的数字化转型带来了哪些效益？
","2020年-2023年，公司已陆续在海口、桂林、武汉等生产基地新建或改造7座数字化工厂 。较数字化产线投产前，人均产量平均超1.4倍、人均产值平均超1.8倍、单位产出额耗用人工成本和制造费用平均下降23% 。
","金盘科技的数字化转型带来了以下效益：

- **经济效益**：
  - “十四五”期间，公司累计营业收入预计较“十三五”期间增长约170%，累计归母净利润预计增长约170%。
  - 人均营业收入预计提升约120%。
  - 2020年以来，公司新建与升级改造了7座数字化工厂，全面投产运营后，产能规模、经营规模、人均效益等核心维度实现了显著突破和跨越式提升。
  
- **生产效率**：
  - 海口数字化工厂的产能2022年较2019年提升了124%，产量提升了103%，产出额提升了163%。
  - 人均产出额2022年较2019年提升了136%。
  - 库存周转次数2022年较2019年上升了185%。

- **可持续发展**：
  - 用电强度和耗水强度分别下降了52%和66%。
  - 数字化工厂年总耗电量中绿电占比达到38%。
  - 实现了从传统制造向数字化制造的根本性跃迁，助力绿色低碳转型，提升资源利用效率。

- **市场拓展**：
  - 产品销往全球6大洲、86个国家，覆盖中高压变压全域的应用领域。
  - 在新能源领域，中标多个大型项目，如中国华电集团有限公司、中国华能集团有限公司等。
  - 数字化整体解决方案新业务在年内取得显著突破，签订订单总金额达4.76亿元（不含税）。",1,,,金盘科技的数字化转型带来了以下主要效益： 1. 业绩显著增长：2021-2023年间实现了业绩的飞跃式增长。 2. 产能大幅提升：海口数字化工厂通过两年运行不断优化，产能较数字化转型前提升124%，人均产出额提升136%。 3. 成本降低：通过数字化转型，有效降低了生产成本。 4. 能耗和排放减少：绿电比例达到38%，用电强度和耗水强度分别下降了53%和68%。 5. 生产效率提高：通过数字化技术，大幅提高了全要素生产效率。 6. 产品品质提升：提高了产品的性能和质量。 7. 数据资产价值转化：积累的数据资源被转化为具有经济价值的资产。,0,"金盘科技的数字化转型带来了以下效益：

经济效益：

“十四五”期间，公司累计营业收入预计较“十三五”期间增长约170%，累计归母净利润预计增长约170%。
人均营业收入预计提升约120%。
海口数字化工厂投产后，产能较数字化转型前提升124%，人均产出额提升136%。
生产效率：

数字化转型提升了企业的产能规模、经营规模、人均效益等核心维度，实现了从传统制造向数字化制造的根本性跃迁。
通过数字化制造技术，有效工作时间大幅提升，成本大幅降低，产品质量及品牌竞争力快速提升。
环境效益：

海口数字化工厂的绿电比例达到38%，用电强度和耗水强度分别下降了52%和66%。
数字化工厂能够提高能源管理水平，为落实减碳路径打下坚实基础，加速企业低碳转型。
技术创新与市场拓展：

自主研发了以Vportal为核心的工业管理软件产品，实现了制造过程的透明化、数据的可视化和品质的可控化。
数字化转型帮助金盘科技获得了国内外客户的认可和青睐，产品销往全球6大洲、86个国家，成为多家国际顶尖电气设备品牌商的战略合作伙伴。
数字化整体解决方案新业务在年内取得显著突破，签订订单总金额达4.76亿元（不含税）。"
金盘公司的注册地址在哪里？,海南省海口市南海大道168-39号 。,"根据材料[4]，金盘公司的注册地址是：

- 海南省海口市南海大道168-39号。",1,,,海南省海口市南海大道168-39号,1,金盘公司的注册地址位于中国海南省海口市南海大道168-39号。
金盘科技的控股股东是谁？,"海南元宇智能科技投资有限公司（简称“元宇投资”）
",根据提供的材料，金盘科技的控股股东是元宇投资，其直接持有金盘科技43.43%的股权。[3][4][5][6][7][8][9][10],1,,,海南元宇智能科技投资有限公司,1,
金盘科技的实际控制人是谁？,李志远和YUQING JING(靖宇清)夫妇 。,根据提供的材料，金盘科技的实际控制人是李志远，他是公司的董事长，并通过元宇投资间接持股99.00%。[14],0.5,检索问题,把问题中的金盘科技换成“公司”就可以找到正确答案，受到行有“金盘科技”且比较短小的表信息影响,李志远和YUQING JING（靖宇清）夫妇,1,根据提供的材料，无法直接确定金盘科技的实际控制人。材料中没有提供关于实际控制人的具体信息。因此，无法从现有材料中得出结论。
"金盘科技首次公开发行股票的保荐人（主承销商）是哪家机构？
",浙商证券股份有限公司。,"根据提供的材料，金盘科技首次公开发行股票的保荐人（主承销商）是浙商证券股份有限公司。[1][2][4][5]

",1,,,浙商证券股份有限公司,1,
金盘科技的财务审计机构是哪家？,中汇会计师事务所(特殊普通合伙)。,金盘科技的财务审计机构是中汇会计师事务所(特殊普通合伙)。这一信息可以从多个材料中找到，例如材料 [2] 和材料 [3]。,1,,,中汇会计师事务所,1,
根据2020年招股说明书，公司的主营业务是什么？,主要从事应用于新能源、高端装备、节能环保等领域的输配电及控制设备产品的研发、生产和销售。,根据2020年招股说明书，公司的主营业务是应用于新能源、高端装备、节能环保等领域的输配电及控制设备产品的研发、生产和销售。具体产品包括但不限于干式变压器（包括特种干式变压器和标准干式变压器）、干式电抗器、中低压成套开关设备、箱式变电站、电力电子设备（包括一体化逆变并网装置、高压静止式动态无功功率补偿及谐波抑制装置（SVG））等。这些产品广泛应用于新能源（含风能、太阳能、智能电网等）、高端装备（含轨道交通、海洋工程等）、节能环保（含高效节能等）、新型基础设施（含数据中心、新能源汽车充电设施等）、工业企业电气配套（含半导体制造等）、传统基础设施、传统发电及供电等领域。[9][10][13][14][16][18][28],1,,,金盘科技主要从事应用于新能源、高端装备、节能环保等领域的输配电及控制设备产品的研发、生产和销售。主要产品包括干式变压器（特种干式变压器和标准干式变压器）、干式电抗器、中低压成套开关设备、箱式变电站、一体化逆变并网装置、SVG等。广泛应用于新能源（含风能、太阳能、智能电网等）、高端装备（含轨道交通、海洋工程等）、节能环保（含高效节能等）、新型基础设施（含数据中心、新能源汽车充电设施等）、工业企业电气配套（含半导体制造等）、传统基础设施、传统发电及供电等领域。,1,
根据2024年年报，公司的主营业务是什么？,专注于中低压各类变压器系列、成套系列、储能系列等产品的研发、生产及销售，并提供数字化工厂整体解决方案。,"根据2024年年报，公司的主营业务包括：

- 数据中心等新基建
- 重要基础设施运营
- 数字化工厂整体解决方案

这些非新能源领域的业务实现了显著增长，有效推动了公司整体营业收入的提升。具体而言，新型基础设施行业销售收入增长了167.43%，数字化整体解决方案业务收入增长了74.04%。此外，公司还从事变压器系列及输配电业务，包括变压器系列、成套系列、安装工程业务、光伏电站业务等。[25]",0.5,,,金盘科技的主营业务是中低压各类变压器系列、成套系列、储能系列等产品的研发、生产及销售，同时提供优质的电能供应解决方案及高端装备，并致力于全生命周期数字化工厂整体解决方案。,1,
根据2020年招股说明书，公司的主要产品包括哪些？,干式变压器、干式电抗器、中低压成套开关设备、箱式变电站、电力电子设备等。,"根据2020年招股说明书，公司的主要产品包括以下几类：

- 干式变压器系列产品（包括特种干式变压器、标准干式变压器、干式电抗器）
- 中低压成套开关设备
- 箱式变电站
- 电力电子设备（包括一体化逆变并网装置、高压静止式动态无功功率补偿及谐波抑制装置（SVG））

这些产品广泛应用于新能源（含风能、太阳能、智能电网等）、高端装备（含轨道交通、海洋工程等）、节能环保（含高效节能等）等领域。[1][2][15][17][25][27][29]",1,,,金盘科技的主要产品包括干式变压器（包括特种干式变压器和标准干式变压器）、干式电抗器、中低压成套开关设备、箱式变电站、一体化逆变并网装置、SVG等输配电及控制设备产品。,1,"根据2020年招股说明书，公司的主要产品包括以下几类：

新能源产业产品：如风力发电专用干式变压器、VPI干式变压器、VPI干式电抗器、环网柜、SVG、箱式变电站、一体化逆变并网装置等。
高端装备产业产品：如轨道交通牵引整流变压器、轨道交通大电流大开断充气柜、舰船专用变压器、海上平台专用变压器、海洋平台专用35kV大电流充气柜等。
节能环保产业产品：如VPI型移相整流变压器、非晶合金变压器、三维立体卷铁芯干式变压器等。
其他产品：如多晶硅还原炉用干式变压器、氢化炉用特种变压器、特种打压变压器、抽水蓄能特种干式变压器、低压开关柜、中置柜等。
新兴领域产品：如一体化直流充电站等。
这些产品广泛应用于新能源、高端装备、节能环保、工业企业电气配套、基础设施、民用住宅、传统发电及供电、新型基础设施等领域。

"
根据2020年招股说明书，公司产品的主要原材料有哪些？,铜线、硅钢片、电气元器件、树脂等。,"根据2020年招股说明书，公司产品的主要原材料包括：

- 电磁线
- 硅钢
- 电气元器件
- 绝缘化工材料
- 普通金属材料

这些原材料对公司产品的成本构成有显著影响，各期末直接材料成本占主营业务成本比例分别为83.49%、83.54%和83.57%。[4][8][10][17]",1,,,金盘科技根据2020年招股说明书，公司产品的主要原材料为硅钢、电磁线、电气元器件、绝缘化工材料等。,1,
2020年招股说明书中的“四大基地”分别指哪里？,海口、武汉、上海、桂林。,"根据提供的材料，2020年招股说明书中的“四大基地”指的是：

- 海口生产基地
- 武汉生产基地
- 上海生产基地
- 桂林生产基地

引用依据为材料 [2] 和 [3] 中提及的“海南金盘智能科技股份有限公司在海口、武汉、上海、桂林建设的四大生产基地”。",1,,,海南金盘智能科技股份有限公司在海口、武汉、上海、桂林建设的四大生产基地,1,
2020年招股说明书提到的海口数字化工厂符合哪个德国标准？,德国工程师协会标准 VDI4499。,"根据提供的材料，2020年招股说明书提到的海口数字化工厂符合德国工程师协会标准 VDI4499。

引用依据：
- [1] 提到“公司依托自身技术研发团队，根据德国工程师协会标准 VDI4499，自主规划、设计‘三大基础’、‘两大仿真’和完整的数字化工厂系统架构。”
- [2] 明确指出“公司依靠智能科技研究院及上海鼎格等自身科技创新团队，自主规划、设计、建设的国内第一家符合德国工程师协会标准 VDI4499 并经德国认证机构 TUV NORD 认证的干式变压器数字化工厂——海口数字化工厂”。",1,,,VDI4499,1,
