问题,标准回答,v1,v1打分,v1错误判断,v1错误分析,v2,v2,v1+v2
这公司做生意的毛利率高吗？（2024年）,2024年毛利率24.32%。,"根据提供的材料，金盘科技在2024年的毛利率为24.37%，相较于2023年提升了1.77个百分点。因此，可以认为该公司的毛利率处于中等水平，并且有所提高。具体来看：

- 总体毛利率：24.37%
- 毛利率比上年增加：1.77个百分点

分产品毛利率情况如下：
- 变压器系列：28.53%
- 成套系列：21.26%
- 数字化整体解决方案：15.61%
- 安装工程业务：12.40%
- 储能系列：11.20%
- 光伏电站业务：9.13%

综上所述，金盘科技在2024年的毛利率并不算特别高，但有明显的提升趋势。",1,,,,,
2025上半年毛利率呢？,25.87%，比2024年同期 (23.36%) 提升了。,根据提供的材料，2025年上半年金盘科技的毛利率为25.87%。[6],1,,,,,
2022年毛利率是不是很低？,是的，2022年毛利率只有20.29%。,"根据提供的材料，2022年的毛利率并不是特别低，但相比2021年有所下降。具体来说：

- 2022年公司的毛利率为20.29%，相比2021年有所下降，主要是因为材料价格波动，特别是取向硅钢片的价格上涨了约28%，导致毛利率下降。
- 不过，到了2022年第四季度，毛利率回升至22.35%，显示出一定的恢复趋势。

因此，虽然2022年的毛利率相比之前有所下降，但不能简单地说是“很低”。",1,,,,,
上市前（2017-2019年）毛利率多少？,比较稳定，在26%-27%左右。,根据提供的材料，无法直接得出金盘科技在2017-2019年的具体毛利率数据。材料主要提供了其他公司的财务指标以及金盘科技未来的预测数据，没有提及金盘科技在上市前（2017-2019年）的具体毛利率数值。因此，无法从现有材料中确定该期间的毛利率。,0,,,,,
为什么2022年毛利率那么低？,2022年报说，主要是原材料硅钢片价格比上年同期涨了28%左右，成本上去了。,"2022年毛利率较低的原因主要包括以下几点：

1. 材料价格波动：2022年度，公司毛利率20.29%，较2021年度有所下降，主要是因为材料价格波动，特别是取向硅钢片价格较上年同期上涨约28%，导致原有已签订单材料成本占比大幅上升，从而影响了毛利率水平。

2. 营业成本增加：根据材料，公司2022年的营业成本增长速度高于营业收入的增长速度，例如电气机械和器材制造业的营业成本比上年增减44.99%，而营业收入比上年增减39.17%。这表明成本控制面临挑战，进而影响了毛利率。

3. 新业务发展初期：公司在储能及数字化整体解决方案等新业务上的投入和发展，这些新业务可能在初期阶段利润率较低，但随着业务的成长将为公司未来的发展提供强劲动能。

综上所述，2022年毛利率较低主要是由于材料成本上升和营业成本增速快于营业收入增速所致。",1,,,,,
他们的成本主要是啥？（IPO时）,2020年招股书显示，主要是铜线（电磁线）、硅钢片、电气元器件等。,"根据提供的材料，IPO时的成本主要包括以下几项：

- 承销及保荐费用
- 审计及验资费用
- 律师费用
- 发行手续费

具体的金额未在材料中明确列出。",0,,,,,
2019年采购最多的是啥？,电磁线（铜），占采购总额27.08%。,"根据提供的材料，2019年采购最多的是电磁线，采购金额为39,778.34万元，占总采购金额的27.08%。[1]",1,,,,,
2017年采购最多的是啥呢？,2017年买最多的是电气元器件 (25.46%)。,"根据提供的材料，2017年采购最多的是电气元器件，采购金额为29,369.15万元，占比25.46%。[2][4][5][6][8][9][10]",1,,,,,
公司在研发上舍得花钱吗？（2024年）,2024年研发投入3.55亿，占营收比例5.15%。,"根据提供的材料，可以得出以下结论：

- 2024年金盘科技的研发费用为352,819,362.38元，相比2023年的351,076,772.02元，增长了0.50% [3][7]。
- 2024年上半年的研发费用为144,143,390.58元，相比2023年上半年的140,678,955.95元，增长了2.46% [2][4]。
- 2024年全年研发投入总额占营业收入比例为5.15%，相比2023年的5.27%，减少了0.12个百分点 [7]。

综上所述，公司在2024年的研发投入保持稳定，略有增长，但占营业收入的比例有所下降。因此，可以说公司在研发上的投入是稳定的，但增长幅度不大。",1,,,,,
2023年公司在研发上花多少？,3.51亿，占营收5.27%。,"根据提供的材料，2023年金盘科技在研发上的花费为351,076,772.02元。这一数据可以从多个来源得到验证：

- 材料[1]中显示，2023年年度的研发费用为351,076,772.02元。
- 材料[2]中也提到，2023年的研发费用为351,076,772.02元。
- 材料[4]进一步确认，2023年度的费用化研发投入为351,076,772.02元，且没有资本化研发投入，因此研发投入合计也是这个数值。
- 最后，材料[9]再次确认了2023年度的研发费用为351,076,772.02元。",1,,,,,
2022年公司在研发上花多少？,2.47亿，占营收5.21%。,"2022年公司在研发上的花费为247,138,364.20元。[1][2][4][7][8]",1,,,,,
2021年公司在研发上花多少呢？,1.58亿，占营收4.77%。,"根据提供的材料，2021年公司在研发上的花费为157,580,846.71元。这一数据可以从多个材料中找到，包括[1]、[2]、[3]和[10]。",1,,,,,
2024年搞研发的人多吗？,有408个研发人员，占总人数17.60%。,"根据提供的材料，可以得出以下结论：

- 2024年金盘科技的研发人员数量为408人，相比2023年的394人有所增加。
- 研发人员数量占公司总人数的比例在2024年为17.60%，略低于2023年的17.85%。
- 2024年第一季度至半年度，研发人员数量分别为413人和411人，显示研发人员数量在增长。
- 2024年研发投入持续增加，第一季度达到6102.71万元，半年度数据未提供，但整体趋势表明公司在加大研发投入。

综上所述，2024年金盘科技的研发人员数量较2023年有所增加，且研发投入也在持续增长，这表明2024年从事研发活动的人数相对较多。",1,,,,,
刚上市（2019年）时研发人员多少？,240人，占总人数13.68%。,根据提供的材料，2019年时，武汉金盘智能的研发人员平均人数为300.5人 [1]。同时，材料[2]也提到，各研发机构的合计研发人员数量为300人，这与材料[1]的数据基本一致。因此，可以认为刚上市（2019年）时，研发人员的数量约为300人。,0,,,,,
2024年搞出了什么新东西？,研发了适用于海拔5000米、容量40000kVA的抽蓄SFC产品。,"根据提供的材料，2024年金盘科技在以下几个方面有新的进展：

- **制造模式创新**：新增3项核心技术，包括自研Web服务中间件优化JDBC连接池、优化自主研发前端框架、RCS调度优化 [1]。

- **产品创新及性能提升**：新增7项核心技术，例如40.5kV环保柜绝缘技术、大功率海上漂浮式风电机组配套机舱内置干式变压器技术、110kV高电压等级干式变压器技术等 [11]。

- **储能技术**：新增3项核心技术，包括电池簇充放电流脉动抑制技术、交直流故障在线运维技术、故障隔离与容错控制技术 [11]。

- **知识产权**：新增104项专利申请，69项专利获得授权，涵盖发明专利、实用新型专利、外观设计专利和软件著作权 [5][12]。

- **环境指标**：光伏自消费电力增加至1,273.88万kWh，清洁能源发电量达到1,694.8万kWh，清洁能源使用比例上升至61.35%，温室气体排放减少45.86% [2]。

- **员工培训**：培训次数增加至252次，平均每位员工的培训时间增加至79小时 [2]。

- **经济表现**：收入增长至66.68亿元，净利润增至5.05亿元 [2]。

以上是2024年金盘科技的主要新进展。",0,,,,,
公司员工学历怎么样？（2024年）,38.35% 是本科及以上。,"根据提供的材料，2024年金盘科技公司员工的学历分布如下：

- 博士研究生：4人，占比0.97%
- 硕士研究生：15人，占比3.65%
- 本科：337人，占比82.00%
- 专科：55人，占比13.38%
- 高中及以下：0人，占比0%

总计员工数量为411人。请注意，这些数据仅反映了2024年上半年的情况。全年数据可能有所不同。",0,,,,,
刚上市（2019年）时公司员工学历怎么样？,28.56% 是本科及以上。说明员工学历水平提升了。,无法从提供的材料中确定2019年公司员工的具体学历分布情况。材料中提供了关于员工人数、薪酬等数据，但没有提及员工的学历信息。,0,,,,,
员工总数（2024年底）？,"2,318人。","根据提供的材料，2024年底金盘科技的员工总数为2,318人。[4]",1,,,,,
刚上市（2019年底）时多少人？,"1,754人。","根据提供的材料，无法直接确定公司在2019年底刚上市时的具体人数。材料中提供了2019年的平均人数数据，但这些数据并不能精确反映公司在2019年底刚上市时的人数。具体来说：

- 总员工平均人数在2019年度为1,920人 [7]。

因此，虽然可以知道2019年的平均人数，但没有直接证据表明这个数字就是公司在2019年底刚上市时的确切人数。",0,,,,,
员工主要是干啥的？（2019年数据）,生产人员最多，占48.40%。,"根据提供的材料，2019年员工的主要职责可以归纳为以下几类：

- 销售人员：负责销售业务，2019年的平均人数为192.5人[1]。
- 管理人员：承担管理职能，2019年的平均人数为483人[1]。
- 研发人员：从事研发工作，2019年的平均人数为300.5人[1]。
- 生产人员：负责生产活动，2019年的平均人数为944人[1]。

此外，销售人员内部又细分为销售业务人员和销售内勤人员，其中销售业务人员2019年的平均人数为113.5人，销售内勤人员为79人[7]。",1,,,,,
员工年龄大吗？（2019年数据）,不大，82.33% 都在40岁及以下。,无法从提供的材料中确定员工年龄大小。材料中没有提供关于员工年龄的具体信息。引用材料仅提供了员工数量、增长率及薪酬变化等数据。[1][14],0,,,,,
金盘科技在国外卖得好吗？（2024年）,卖得很好，2024年外销收入19.81亿，增长了68.26%。,"根据提供的材料，可以得出以下结论：

1. 金盘科技在国外市场表现良好，具体表现为：
   - 2024年上半年，公司外销订单实现快速增长。
   - 公司产品和服务已覆盖全球6大洲，87个国家。
   - 已与通用电气、西门子、维斯塔斯等国际知名企业建立了长期稳定的业务合作关系。
   - 在墨西哥、波兰等地进行了产能布局，为拓展国际市场奠定基础。

综上所述，金盘科技在国外市场具有较好的销售表现。",0.5,,,,,
2023年国外卖多少？,11.77亿。,根据材料[5]，2023年金盘科技的外销订单金额为19.91亿元。,0,,,,,
上市前（2019年）国外卖多少？,7.82亿，占主营业务34.83%。,"根据提供的材料，2019年国外直销客户的产品销量如下：

- 干式变压器销量：5,313,739.60
- 干式电抗器销量：345,639.20

合计国外直销客户销量为5,659,378.80。需要注意的是，材料中没有提供关于国外经销商在2019年的销量数据，因此无法提供国外经销商的具体销量。综合来看，2019年国外直销客户销量总计为5,659,378.80。[1]",0,,,,,
他们在国外建厂了吗？,建了。2024年报说，墨西哥基地扩建完成，波兰工厂首台产品下线，还在筹备美国工厂。,"根据提供的材料，可以确认他们确实在国外建厂了。具体信息如下：

- JST USA于2019年10月在佛罗里达州设立子公司Real Estate并购买厂房及土地，计划用于办公经营和开关柜系列产品的研发，未来可能在此进行开关柜系列产品的生产 [4][6][7][8][9][17][18][19][20][21][22][23][24][25][26][27][28]。

- JST USA在墨西哥通过Shelter模式主要进行干式变压器产品的中后段生产 [4][6][7][8][9][17][18][19][20][21][22][23][24][25][26][27][28]。

综上所述，他们在国外（美国佛罗里达州和墨西哥）建有工厂。",0.5,,,,,
他们的东西卖到多少个国家了？（2024年）,87个国家。,根据提供的材料，金盘科技的产品和服务已经覆盖了全球87个国家。这一数据直接来源于材料[1]和材料[11]。因此，可以确认截至2024年，他们的产品卖到了87个国家。,1,,,,,
刚上市时（2020年）卖到多少国家？,招股书说产品远销60多个国家和地区。,根据提供的材料，无法直接确定公司在2020年刚上市时具体销售到了多少个国家。材料提供了不同时间段的销售数据，但没有明确指出2020年初的具体情况。因此，无法从现有材料中得出确切答案。,0,,,,,
他们刚上市时，大客户是谁？,2019年第一大客户是通用电气(GE)，占了11.32%。,根据提供的材料，无法直接确定金盘科技刚上市时的大客户信息。材料中提供了多个年度的前五大客户名单，但没有明确指出哪一年是其刚上市的时间点。因此，无法从现有材料中确定他们刚上市时的大客户是谁。,0,,,,,
2017年第一大客户也是GE吗？,是的，2017、2018、2019年第一大客户都是GE。,"根据提供的材料，2017年第一大客户确实是GE。具体数据如下：

- 2017年度，排名: 1，客户集团名称: 通用电气（GE），销售收入（万元）: 17,811.26，占营业收入比例: 8.86% [2][3][4][5][6][7][8][9][10]。",1,,,,,
2019年前五大客户占多少？依赖大客户吗？,2019年前五大客户占34.84%，不算特别高。,2019年前五大客户占营业收入的比例为34.84%。具体来说，前五大客户分别是通用电气(GE)、维斯塔斯、西门子(SIEMENS)、深圳科士达科技股份有限公司和中国铁路工程集团有限公司，它们分别占营业收入的11.32%、9.38%、6.65%、4.77%和2.72%。从这些数据来看，公司确实依赖大客户，因为前五大客户的收入占比超过了三分之一。[26],1,,,,,
刚上市时，他们觉得自己跟谁竞争？,国际上是西门子、ABB、施耐德；国内是特变电工、中国西电等。,"根据提供的材料，金盘科技在上市时认为自己与以下企业竞争：

- 国际市场上：西门子（SIEMENS）、施耐德（Schneider）、ABB、SGB。
- 国内市场上：西门子（SIEMENS）、ABB、施耐德（Schneider）、顺特电气、江苏华鹏、特变电工。[1][4][11][14][17]",1,,,,,
2020年招股书里说，公司有啥荣誉？,2017年拿过西门子歌美飒的“最佳创新供应商”。,"根据2020年的招股书，金盘科技获得的荣誉包括：

- 2019年制造业与互联网融合发展试点示范项目（工业和信息化部）
- 绿色工厂（工业和信息化部）
- 2017年两化融合管理体系贯标试点企业（工业和信息化部）
- 2015年互联网与工业融合创新试点企业（工业和信息化部）
- 2014年信息化和工业化融合管理体系贯标试点企业（工业和信息化部）
- 国家火炬计划产业化示范项目证书（科学技术部火炬高技术产业开发中心）
- 国家重点新产品证书（科学技术部、商务部、环境保护部、国家质量监督检验检疫总局）
- 国家火炬计划项目验收合格证书（科学技术部火炬高技术产业开发中心）
- “十一五”国家科技计划执行优秀团队奖（科学技术部）
- 国家火炬计划重点高新技术企业证书（科技部火炬高技术产业开发中心）
- 国家火炬计划项目证书（科学技术部火炬高技术产业开发中心）
- 国家级火炬计划项目验收合格证书（科学技术部火炬高技术产业开发中心）
- 国家级火炬计划项目证书（科学技术部火炬高技术产业开发中心）

此外，还有多个省级荣誉，如海南省科学技术奖、海南省政府质量奖等。",0.5,,,,,
公司现在手里订单多吗？（2025年6月底）,挺多，在手订单75.40亿 (不含税)。,"根据提供的材料，可以得出以下结论：

- 截至2025年6月底，公司手里订单金额为814,396.32万元 [1]。
- 该订单金额相比2024年底增加了163,457.10万元，增长率为25.11% [5][10]。

综上所述，公司截至2025年6月底手里的订单金额较高，且相比2024年底有显著增长。",0.5,,,,,
2024年底订单多少？,65.09亿。,根据提供的材料，无法直接找到关于2024年底订单的具体数值。材料中涉及的是财务报表中的各类金额、在建工程、应收款项等信息，但没有明确提及订单数量或金额。因此，无法从现有材料中确定2024年底订单的具体数额。,0,,,,,
2023年底订单是多少呢？,48.61亿。订单增长很快。,根据提供的材料，没有直接提到2023年底订单的具体数值。材料主要提供了关于应收账款、应付账款、合同负债等财务项目的详细数据，但未具体提及订单数量或金额。因此，无法从现有材料中确定2023年底订单的具体数值。,0,,,,,
公司最担心什么风险？（2024年报）,还是老几样：原材料价格波动、市场竞争加剧、全球化运营风险、应收账款回款慢。,根据提供的材料，公司最担心的风险是信用风险。具体来说，信用风险是指交易对手方未能履行合同义务而导致公司产生财务损失的风险，主要产生于银行存款和应收款项等。公司通过多种方式管理和控制信用风险，例如监控债务人的信用记录，设定相关政策以控制信用风险敞口，以及通过适当的多样化投资及业务组合来分散金融工具风险。[1][19],0,,,,,
上市时（2020年）担心什么？,差不多，也是原材料价格、行业政策、中美贸易摩擦、毛利率下降、应收账款。,"根据材料，公司在2020年上市时担心以下几点：

- 投资者认购不足导致的发行失败风险；
- 发行后总市值不满足上市标准导致的发行失败风险；
- 即期回报被摊薄的风险；
- 实际控制人控制的风险。",0,,,,,
公司大方吗？分红不？（2024年）,2024年报提了预案：10股派4.80元 (含税)。,"根据提供的材料，可以得出以下结论：

- 公司大方且分红。具体来说，2024年度现金分红总额为230,149,257.58元，相比上一年度增长了12.4%。此外，最近三个会计年度累计现金分红总额为542,488,725.58元，表明公司在过去几年里持续进行分红。
- 分红比例较高，2024年的现金分红比例达到了119.46%，这表明公司不仅分红，而且分红比例显著高于30%的标准。
- 公司的分红政策符合公司章程的规定或股东大会决议的要求，分红标准和比例明确清晰，相关的决策程序和机制完备，独立董事也发挥了应有的作用，保障了中小股东的利益。

综上所述，金盘科技在2024年大方地进行了分红。",1,,,,,
2023年分红了吗？,分了，10股派4.50元 (含税)。,"根据提供的材料，可以确认金盘科技在2023年进行了分红。以下是关键信息：

- 每10股派发现金红利4.5元（含税）[3][10][15][24][25]
- 现金分红金额（含税）：192,313,139.40元 [5]
- 分红年度合并报表中归属于上市公司普通股股东的净利润：504,660,243.92元 [5]
- 占合并报表中归属于上市公司普通股股东的净利润的比率（%）：38.11% [5]

因此，金盘科技在2023年确实进行了分红。",1,,,,,
2022年分红了吗？,10股派3.00元 (含税)。,"根据提供的材料，可以确认2022年金盘科技进行了分红。具体分红情况如下：

- 每10股派发现金红利2.5元（含税）。
- 合计拟派发现金红利10,675.49万元（含税）。
- 现金分红金额占当年合并报表中归属于上市公司股东净利润的比例为37.69%。

参考材料 [2] 和 [8]。",0,,,,,
2021年分红了吗？,10股派3.00元 (含税)。,"根据提供的材料，可以确认2021年金盘科技进行了分红。具体分红情况如下：

- 每股现金红利为0.2元 [1]
- 股权登记日为2022年5月26日，除权（息）日为2022年5月27日，现金红利发放日也为2022年5月27日 [11]

因此，2021年金盘科技确实进行了分红。",0,,,,,
公司的账本（审计报告）靠谱吗？,至少2021-2024年，审计机构都出的是“标准无保留意见”，意思是没发现大问题。,"根据提供的材料，可以得出以下结论：

1. 公司的财务报告经过了专业会计师事务所的审计，例如中汇会计师事务所（特殊普通合伙）对2019-2021年度的财务报告出具了标准无保留意见的审计报告 [21][23]。
2. 2020年第1季度的财务报表虽然未经审计，但已经中汇会计师事务所审阅，并认为其按照企业会计准则的规定编制，公允反映了公司的财务状况和经营成果 [13][15][17][19]。
3. 公司董事会、监事会及其董事、监事、高级管理人员已出具专项声明，保证财务报表的真实性、准确性及完整性 [13][15][17][19]。

综上所述，公司的账本（审计报告）是可靠的。",1,,,,,
公司拿政府补贴多吗？（2024年）,2024年计入当期损益的政府补助有2581万。,"根据提供的材料，可以得出以下结论：

- 2024年金盘科技获得的政府补助金额较高。具体来看：
    - 2024年第一季度：计入当期损益的政府补助金额为1,285,574.27元 [3]。
    - 2024年上半年：计入当期损益的政府补助金额为15,621,959.53元 [5]。
    - 2024年全年：计入当期损益的政府补助金额为25,814,582.05元 [2]。

综上所述，金盘科技在2024年确实获得了较多的政府补贴。",1,,,,,
2023年公司拿政府补贴多吗？,3271万。,"根据提供的材料，可以得出以下结论：

- 2023年金盘科技确实获得了较多的政府补贴。具体而言，2023年全年计入当期损益的政府补助金额为40,578,153.19元，相比2022年的23,928,228.11元有显著增长。[6]

- 分季度来看，2023年第一季度获得政府补助11,799,319.94元，第三季度获得政府补助35,058,672.63元（年初至第三季度末累计）。[1][2]

综上所述，2023年金盘科技获得的政府补贴金额较多。",0,,,,,
2025年上半年公司拿政府补贴拿了多少？,1472万。,"根据材料[10]，2025年上半年公司拿到的政府补贴总额为21,561,366.27元。具体分类如下：

- 与资产相关：6,841,480.09元
- 与收益相关：14,719,886.18元
- 合计：21,561,366.27元 [10]",0.5,,,,,
2021年是不是亏钱卖了什么东西？,2021年报的非经常性损益里，“非流动资产处置损益”是 -679万。,"根据提供的材料，没有直接证据表明2021年“亏钱卖了什么东西”。材料主要涉及的是各类资产减值损失，而非具体商品销售亏损的情况。以下是相关数据：

- 存货跌价损失及合同履约成本减值损失为-889.18万元 [1]
- 应收票据坏账损失为-3,158,066.32元 [10]
- 应收账款坏账损失为-23,874,508.73元 [10]
- 其他应收款坏账损失为-40,749.17元 [10]

这些数据反映了公司在2021年的资产减值情况，但并不能直接说明公司是否亏钱卖了某种具体商品。因此，无法从材料中确定2021年是否亏钱卖了什么东西。",0,,,,,
公司库存大吗？（2024年底）,存货22.1亿。,"根据提供的材料，2024年底公司的存货为1,087,245,343.89元 [5][8]。相比2023年底的存货1,735,626,697.88元 [1][8]，存货有所下降。因此，可以认为公司在2024年底的库存并不大，相较于前一年度有所减少。",0,,,,,
2023年底公司库存怎么样？,18.0亿。库存增加了。,"根据提供的材料，2023年底公司的库存情况如下：

- 存货金额为1,735,626,697.88元，相比2022年的1,732,823,527.05元，增长了0.16%。[9]

因此，2023年底公司的库存略有增加，但增幅较小。",1,,,,,
2024年存货为啥涨这么多？,2024年报解释说，主要是“发出商品”和“合同履约成本”增加了，因为销售规模扩大，特别是海外业务。,"根据提供的材料，2024年存货增加的具体数额为：

- 2024年末存货账面余额：2,138,543,549.64元
- 2023年末存货账面余额：1,754,777,574.68元

存货增加额：2,138,543,549.64元 - 1,754,777,574.68元 = 383,765,974.96元

但是，材料中没有直接提供存货大幅增长的具体原因。因此，无法从现有材料中确定2024年存货大幅增长的确切原因。",0,,,,,
控股股东（元宇投资）的股份变少了吗？,变少了。上市前（2020年）持股55.66%，到2024年底持股27.28%。,"根据提供的材料，可以得出以下结论：

- 控股股东元宇投资的持股数量没有变化，始终为184,864,203股。
- 元宇投资的持股比例从43.43%下降至40.41% [2]，再到42.57% [8]，最后降至40.41% [6]。

因此，虽然元宇投资的持股数量未发生变化，但其持股比例有所减少，这表明控股股东元宇投资的股份比例变少了。",0,,,,,
为什么控股股东（元宇投资）的股份比例少了这么多？,一方面是IPO发行新股稀释了，另一方面也可能有减持或转让。,"根据提供的材料，控股股东元宇投资的股份比例减少的原因在于公司进行了新股发行，导致总股本增加，而元宇投资持有的股份数量没有变化，从而稀释了其持股比例。具体来说：

- 在首次发行前，元宇投资持有公司 $48.25\%$ 的股份 [10]。
- 发行后，元宇投资的持股数量保持不变，但持股比例降至 $40.41\%$ [6]。

这表明，新股发行增加了公司的总股本，而元宇投资并未增持股份，因此其相对持股比例降低。",1,,,,,
2020年招股书里说的“四大基地”是哪？,海口、武汉、上海、桂林。,"根据提供的材料，2020年招股书里提到的“四大基地”指的是海南金盘智能科技股份有限公司在以下四个城市建设的生产基地：

- 海口
- 武汉
- 上海
- 桂林

这些信息可以在材料[2]、[3]、[4]、[5]、[6]和[10]中找到。",1,,,,,
"2020年招股书里那个""VPI""是啥技术？",真空压力浸渍 (Vacuum Pressure Impregnation)，干式变压器的核心工艺之一。,"根据材料[1]和[7]，2020年招股书里的“VPI”指的是真空压力浸渍(Vacuum Pressure Impregnation)工艺。这种技术用于制造干式变压器和干式电抗器，具有以下特点：

- 产品具有良好的绝缘及导热性能；
- 机械强度高、耐候性强；
- 铁芯采用优质低损耗冷轧硅钢片材料，损耗低，铁芯特性好；
- 线圈采用箔式绕组结构，直流电阻小，抗短路能力强；
- 产品具有体积小、过载能力强、局放小、抗短路能力强、噪音低、效率高、防火性能好、难燃自熄、无可燃性物质及有毒气体、安全环保等显著特点；
- 设计灵活，可户内/户外(需配外壳)使用，满足各种柜体的定制化配套要求；
- 产品获得UL、CE等多个国家的认证。",1,,,,,
2025年上半年，除了数据中心，还有啥长得快？,“中低压成套系列”也很快，收入5.48亿，同比增长了160.75%。,"根据提供的材料，2025年上半年，除了数据中心之外，以下领域也表现出较快的增长趋势：

1. 新型储能：预计2030年中国新型储能累计规模将达到236.1GW-291.2GW，年均复合增长率达20.20%-24.47% [1]。
2. 光伏：2024年中国光伏新增装机量年均复合增长率为78.20%，但2024-2030年均复合增长率降至0.15%-3.44% [11]。
3. AI数据中心（AIDC）：全球AIDC新增装机量将从2024年的7GW增长至2028年的59GW，年均复合增长率高达73% [2]。

请注意，材料中并未直接提及2025年上半年的具体增长情况，上述信息是基于长期预测得出的结论。",0,,,,,
